semester_percentage,scholarship_exam_marks,got_scholarship
71.9,26,1
74.6,38,1
75.4,40,1
64.2,8,1
72.3,17,0
73,23,1
66.9,11,0
71.2,39,1
64.5,38,0
77.5,94,1
68.2,16,1
63.8,7,1
65.8,16,1
56.8,26,0
79.1,43,0
71,21,0
65.3,19,0
75.6,22,1
69.3,27,0
76.3,29,0
66.9,47,0
74.3,33,1
67.6,54,1
60.5,11,0
64.4,11,0
62.8,58,1
74.5,8,1
65.3,46,0
72.3,19,0
65.1,15,1
74.6,16,0
76.6,44,0
59.1,11,1
62.3,27,0
81.5,9,0
74.8,12,0
68.5,16,1
85.1,9,1
65.8,20,1
72.5,17,0
66,86,1
67,38,0
74.6,71,1
78.5,63,0
78.8,55,0
69.2,10,1
73,15,0
69.2,46,0
62.9,42,0
82.3,28,1
62,18,1
62.4,28,1
75.3,27,1
66.9,33,1
84.2,36,1
81.2,15,0
69.3,15,1
77.3,24,0
73.4,43,0
77,32,1
79.4,31,1
75.1,86,0
76.1,22,0
62.2,26,0
69.8,52,1
62.7,28,1
66.7,31,1
80.4,18,1
65.8,30,0
74.1,44,0
69.8,17,1
61.3,20,1
79,19,0
63.9,12,1
61.6,3,1
67.7,56,1
83.5,12,0
71,28,1
82,12,0
76.3,19,1
68.7,46,1
71.2,44,1
72.2,12,0
73.8,20,1
56.5,35,1
60.3,28,0
71.9,22,1
69.6,19,1
67.8,39,0
65.6,17,0
76.1,15,1
74.2,6,1
64.8,63,0
70,30,0
71.5,21,1
68.9,35,1
70.9,28,1
73.3,52,1
81.2,76,0
74.6,23,0
65.6,46,0
64.8,26,1
59.2,22,1
64.4,18,1
68.2,47,1
67.2,12,1
65.9,22,0
73.2,9,0
59.4,10,0
72.3,21,1
69.6,31,0
64.8,33,0
72.3,15,0
72.4,10,0
63,77,1
72.8,37,0
71.6,21,0
71.1,0,1
69,54,0
70,39,0
69.9,46,1
59.1,27,0
59.7,51,0
62.5,52,0
62,30,0
74.6,55,1
71.6,37,0
69.5,23,1
67.6,25,0
68.1,39,1
59.1,53,0
81.9,19,1
77.1,18,0
76.5,64,1
63.3,93,0
66.3,47,0
72.8,15,0
56.9,53,0
75.3,8,1
80.9,5,1
68.5,22,1
71.9,18,0
76.6,41,1
63.2,33,1
66.7,17,0
70.8,28,0
67.5,22,1
66.8,11,0
68.6,49,1
68.1,58,0
85.3,22,0
72.9,16,1
77.8,56,0
62.9,10,1
75.7,54,1
78.4,12,0
64,34,0
70.7,81,1
57.4,50,0
67,22,0
73.6,10,1
62.6,52,1
78,90,0
67.7,42,1
62.9,34,1
75.3,7,0
77.6,59,0
66.5,48,1
65.1,37,1
61.9,16,1
61.7,37,0
62,38,1
72.4,43,1
67.1,48,0
73.1,21,1
75.7,26,1
77.2,30,1
62.2,40,1
75.1,39,0
64,45,1
71.8,29,0
73,42,0
68.7,76,0
61.1,18,1
77.8,33,0
73,31,0
69.7,63,1
66.3,10,1
59.2,55,1
66.3,9,0
75.4,23,0
66.3,8,0
66.7,38,0
63.1,14,0
81.9,33,0
67.1,44,0
72.8,34,1
67.5,27,0
82.9,44,1
74.3,25,1
57.7,22,0
66.7,15,0
65.1,48,1
79.3,52,0
70.1,5,1
69.9,47,1
75,25,0
70.5,16,0
72.5,12,1
68.8,35,0
65.8,19,1
73.6,14,0
62.3,57,0
66.2,19,1
74.2,60,1
77.2,22,0
54.2,36,1
69.2,16,0
66.2,52,0
54.8,3,0
77.5,16,1
67.8,24,1
69.7,78,0
61.5,11,1
71.5,19,0
73.6,13,1
67.9,21,1
70.3,19,0
76.1,15,0
66.8,13,0
71.2,14,1
64,35,0
77.7,34,0
72.5,41,0
80.9,36,0
72,52,1
77,36,1
71.4,52,1
74.1,78,0
67.1,16,1
72.5,38,0
72.2,18,0
59.9,44,0
67.8,55,0
76.8,44,0
67.8,62,0
76.7,26,0
62.5,49,0
69,44,0
74.6,52,0
74,13,1
64.6,45,0
62.4,54,1
69.8,76,0
67,64,0
77.6,10,0
73.7,48,1
57.4,76,0
61.2,6,1
71.6,10,0
56.6,57,1
71.7,11,1
71.9,10,1
81.1,50,1
78.2,28,1
69.4,57,0
77.3,50,1
60,65,0
73.8,21,0
64.7,16,0
68,16,1
76.4,21,1
62.3,56,1
70,9,0
71.3,4,1
80.3,39,0
69.6,46,0
64.5,15,1
52.3,17,1
84.9,40,1
66.2,55,0
76.8,22,1
64.3,44,1
70.9,87,0
69.9,62,1
74.2,57,1
62.9,58,1
62.4,24,1
70.7,21,0
67.3,9,1
83.8,87,0
74.6,14,1
58.2,41,0
69.7,11,1
61.2,17,0
60.2,64,0
69.9,19,0
70.3,32,1
61.6,48,0
67.5,15,1
73.6,52,1
78.4,5,1
79.5,34,0
73.5,56,0
71.2,33,1
66.7,32,1
68.6,19,0
74.7,28,1
72,47,1
74.6,31,1
55.6,50,0
69.7,87,1
70.2,55,1
65.1,18,1
74.3,14,1
79.6,37,0
70.7,38,1
74.7,19,0
67.4,60,0
75.3,13,0
71.8,51,1
68.2,47,0
67.7,38,1
66,38,0
66.4,90,0
66.5,13,0
75.4,13,0
82.1,56,0
74,28,1
73,35,0
66.8,16,1
61.2,22,1
70.3,39,0
67.4,20,1
65.6,19,1
69,17,1
79.3,9,1
69.5,68,0
74.5,46,1
73.2,18,1
74.5,51,0
74.1,8,1
63.7,23,0
72,70,1
72,26,1
62.6,13,1
73.1,33,0
72.4,34,1
61.3,17,1
81.2,16,0
72.1,70,0
69.2,10,0
65.1,4,1
68.2,28,1
67.3,23,1
64.2,18,1
59.1,50,1
79.2,42,1
67.4,52,0
76.1,40,0
72.4,33,0
63.7,37,1
72.5,21,1
76.1,13,0
68.7,9,1
70.7,25,0
67.8,42,0
64.1,30,0
70.9,32,0
66.9,36,1
57,79,1
59,29,0
59.5,8,0
55.8,41,0
73.4,41,0
73.1,31,0
62.5,60,0
67,47,1
72.7,25,1
73.7,65,0
71.2,31,1
61.7,53,0
75.5,61,0
72.6,4,1
70.3,33,0
